"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"476","ENY2","ENSG00000120533","476.1.1","ENY2","ENSSSCG00000038444","ENY2 transcription and export complex 2 subunit [Source:VGNC Symbol;Acc:VGNC:98792]"
"477","CAT","ENSG00000121691","477.1.1","CAT","ENSSSCG00000013302","catalase [Source:VGNC Symbol;Acc:VGNC:86208]"
"478","SGK1","ENSG00000118515","478.1.1","SGK1","ENSSSCG00000021443","serum/glucocorticoid regulated kinase 1 [Source:VGNC Symbol;Acc:VGNC:92793]"
"479","MYO9A","ENSG00000066933","479.1.1","MYO9A","ENSSSCG00000004979","myosin IXA [Source:VGNC Symbol;Acc:VGNC:103138]"
"480","MSL2","ENSG00000174579","480.1.1","MSL2","ENSSSCG00000011650","MSL complex subunit 2 [Source:VGNC Symbol;Acc:VGNC:90424]"
"481","NUP62","ENSG00000213024","481.1.1","NUP62","ENSSSCG00000040333","nucleoporin 62 [Source:VGNC Symbol;Acc:VGNC:90984]"
"482","PSMB5","ENSG00000100804","482.1.1","ENSSSCG00000002036","ENSSSCG00000002036",""
"482","PSMB5","ENSG00000100804","482.1.2","ENSSSCG00000036276","ENSSSCG00000036276",""
"483","DCAF12","ENSG00000198876","483.1.1","DCAF12","ENSSSCG00000024384","DDB1 and CUL4 associated factor 12 [Source:VGNC Symbol;Acc:VGNC:95927]"
"484","PRKCI","ENSG00000163558","484.1.1","PRKCI","ENSSSCG00000011745","protein kinase C iota [Source:VGNC Symbol;Acc:VGNC:91809]"
"485","CTSC","ENSG00000109861","485.1.1","CTSC","ENSSSCG00000014924","cathepsin C [Source:VGNC Symbol;Acc:VGNC:87075]"
"486","RALY","ENSG00000125970","486.1.1","RALY","ENSSSCG00000007275","RALY heteroous nuclear ribonucleoprotein [Source:VGNC Symbol;Acc:VGNC:95709]"
"487","DENND6A","ENSG00000174839","487.1.1","DENND6A","ENSSSCG00000011467","DENN domain containing 6A [Source:VGNC Symbol;Acc:VGNC:87256]"
"488","CCDC186","ENSG00000165813","488.1.1","CCDC186","ENSSSCG00000010648","coiled-coil domain containing 186 [Source:VGNC Symbol;Acc:VGNC:86280]"
"489","FNTB","ENSG00000257365","489.1.1","FNTB","ENSSSCG00000002281","farnesyltransferase, CAAX box, beta [Source:VGNC Symbol;Acc:VGNC:109191]"
"490","MS4A4E","ENSG00000214787","490.1.1","ENSSSCG00000051873","ENSSSCG00000051873",""
"491","TXNRD1","ENSG00000198431","491.1.1","TXNRD1","ENSSSCG00000000843","thioredoxin reductase 1 [Source:NCBI gene (formerly Entrezgene);Acc:396681]"
"492","P2RY13","ENSG00000181631","492.1.1","P2RY13","ENSSSCG00000032162","purinergic receptor P2Y13 [Source:VGNC Symbol;Acc:VGNC:91125]"
"493","TET2","ENSG00000168769","493.1.1","ENSSSCG00000009157","ENSSSCG00000009157","tet methylcytosine dioxygenase 2 [Source:VGNC Symbol;Acc:VGNC:93889]"
"494","OTULINL","ENSG00000145569","494.1.1","OTULINL","ENSSSCG00000016782","OTU deubiquitinase with linear linkage specificity like [Source:VGNC Symbol;Acc:VGNC:91107]"
"495","RFX1","ENSG00000132005","495.1.1","RFX1","ENSSSCG00000013764","regulatory factor X1 [Source:VGNC Symbol;Acc:VGNC:92243]"
"496","BCLAF1","ENSG00000029363","496.1.1","BCLAF1","ENSSSCG00000004163","BCL2 associated transcription factor 1 [Source:VGNC Symbol;Acc:VGNC:85787]"
"497","DDX3X","ENSG00000215301","497.1.1","DDX3X","ENSSSCG00000012252","DEAD-box helicase 3 X-linked [Source:NCBI gene (formerly Entrezgene);Acc:100515940]"
"498","PHRF1","ENSG00000070047","498.1.1","PHRF1","ENSSSCG00000029723","PHD and ring finger domains 1 [Source:VGNC Symbol;Acc:VGNC:91403]"
"499","TMEM165","ENSG00000134851","499.1.1","TMEM165","ENSSSCG00000032234","transmembrane protein 165 [Source:VGNC Symbol;Acc:VGNC:94104]"
"500","ETS2","ENSG00000157557","500.1.1","ETS2","ENSSSCG00000038948","ETS proto-onco 2, transcription factor [Source:VGNC Symbol;Acc:VGNC:87809]"
"501","FEM1B","ENSG00000169018","501.1.1","FEM1B","ENSSSCG00000022419","fem-1 homolog B [Source:VGNC Symbol;Acc:VGNC:88083]"
"502","HMGB2","ENSG00000164104","502.1.1","HMGB2","ENSSSCG00000009704","high mobility group box 2 [Source:VGNC Symbol;Acc:VGNC:88902]"
"503","CEP63","ENSG00000182923","503.1.1","CEP63","ENSSSCG00000011645","centrosomal protein 63 [Source:VGNC Symbol;Acc:VGNC:86574]"
"504","G3BP1","ENSG00000145907","504.1.1","G3BP1","ENSSSCG00000035676","G3BP stress granule assembly factor 1 [Source:VGNC Symbol;Acc:VGNC:88288]"
"505","PTPA","ENSG00000119383","505.1.1","PTPA","ENSSSCG00000005672","protein phosphatase 2 phosphatase activator [Source:VGNC Symbol;Acc:VGNC:91969]"
"506","MAN2A1","ENSG00000112893","506.1.1","MAN2A1","ENSSSCG00000014195","mannosidase alpha class 2A member 1 [Source:VGNC Symbol;Acc:VGNC:98098]"
"507","H4C4","ENSG00000277157","507.1.1","ENSSSCG00000059426","ENSSSCG00000059426",""
"508","RGS10","ENSG00000148908","508.1.1","RGS10","ENSSSCG00000039838","regulator of G protein signaling 10 [Source:VGNC Symbol;Acc:VGNC:92259]"
"509","FOXP1","ENSG00000114861","509.1.1","FOXP1","ENSSSCG00000027675","forkhead box P1 [Source:VGNC Symbol;Acc:VGNC:88222]"
"509","FOXP1","ENSG00000285708","509.2.1","N/A","N/A","N/A"
"510","CEP55","ENSG00000138180","510.1.1","CEP55","ENSSSCG00000010477","centrosomal protein 55 [Source:VGNC Symbol;Acc:VGNC:86572]"
"511","ZNF438","ENSG00000183621","511.1.1","ZNF438","ENSSSCG00000011023","zinc finger protein 438 [Source:VGNC Symbol;Acc:VGNC:109489]"
"512","AKIRIN2","ENSG00000135334","512.1.1","AKIRIN2","ENSSSCG00000004307","akirin 2 [Source:VGNC Symbol;Acc:VGNC:103023]"
"513","IFNAR1","ENSG00000142166","513.1.1","IFNAR1","ENSSSCG00000033115","interferon alpha and beta receptor subunit 1 [Source:VGNC Symbol;Acc:VGNC:89037]"
"514","CCDC28A","ENSG00000024862","514.1.1","CCDC28A","ENSSSCG00000004148","coiled-coil domain containing 28A [Source:NCBI gene (formerly Entrezgene);Acc:100512200]"
"515","GGA2","ENSG00000103365","515.1.1","GGA2","ENSSSCG00000010798","golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:VGNC Symbol;Acc:VGNC:88432]"
"516","SLC39A13","ENSG00000165915","516.1.1","SLC39A13","ENSSSCG00000013238","solute carrier family 39 member 13 [Source:VGNC Symbol;Acc:VGNC:93103]"
"517","ZCCHC2","ENSG00000141664","517.1.1","ZCCHC2","ENSSSCG00000004897","zinc finger CCHC-type containing 2 [Source:VGNC Symbol;Acc:VGNC:95109]"
"518","KLF13","ENSG00000169926","518.1.1","KLF13","ENSSSCG00000026006","KLF transcription factor 13 [Source:NCBI gene (formerly Entrezgene);Acc:494563]"
"519","LONRF1","ENSG00000154359","519.1.1","LONRF1","ENSSSCG00000006968","LON peptidase N-terminal domain and ring finger 1 [Source:VGNC Symbol;Acc:VGNC:96123]"
"520","C2CD2L","ENSG00000172375","520.1.1","C2CD2L","ENSSSCG00000015111","C2CD2 like [Source:VGNC Symbol;Acc:VGNC:85991]"
"521","PLXND1","ENSG00000004399","521.1.1","PLXND1","ENSSSCG00000011592","plexin D1 [Source:VGNC Symbol;Acc:VGNC:91585]"
"522","ARAP1","ENSG00000186635","522.1.1","ARAP1","ENSSSCG00000014817","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:VGNC Symbol;Acc:VGNC:85439]"
"523","C1ORF162","ENSG00000143110","523.1.1","ENSSSCG00000025485","ENSSSCG00000025485","chromosome 4 C1orf162 homolog [Source:VGNC Symbol;Acc:VGNC:86029]"
"524","ADGRE1","ENSG00000174837","524.1.1","ENSSSCG00000013556","ENSSSCG00000013556","adhesion G protein-coupled receptor E1 [Source:VGNC Symbol;Acc:VGNC:85124]"
"525","LIPA","ENSG00000107798","525.1.1","LIPA","ENSSSCG00000010450","lipase A, lysosomal acid type [Source:VGNC Symbol;Acc:VGNC:89737]"
"526","CTNS","ENSG00000040531","526.1.1","CTNS","ENSSSCG00000017865","cystinosin, lysosomal cystine transporter [Source:VGNC Symbol;Acc:VGNC:87069]"
"527","PSMB3","ENSG00000277791","527.1.1","PSMB3","ENSSSCG00000037606","proteasome 20S subunit beta 3 [Source:NCBI gene (formerly Entrezgene);Acc:497064]"
"528","MFSD11","ENSG00000092931","528.1.1","MFSD11","ENSSSCG00000029343","major facilitator superfamily domain containing 11 [Source:VGNC Symbol;Acc:VGNC:90184]"
"529","MED25","ENSG00000104973","529.1.1","MED25","ENSSSCG00000003197","mediator complex subunit 25 [Source:VGNC Symbol;Acc:VGNC:90116]"
"530","SLC25A51","ENSG00000122696","530.1.1","ENSSSCG00000032554","ENSSSCG00000032554","solute carrier family 25 member 51 [Source:NCBI gene (formerly Entrezgene);Acc:100157218]"
"531","NUB1","ENSG00000013374","531.1.1","NUB1","ENSSSCG00000016438","negative regulator of ubiquitin like proteins 1 [Source:VGNC Symbol;Acc:VGNC:90942]"
"532","TANK","ENSG00000136560","532.1.1","TANK","ENSSSCG00000015889","TRAF family member associated NFKB activator [Source:HGNC Symbol;Acc:HGNC:11562]"
"533","RUNX1","ENSG00000159216","533.1.1","RUNX1","ENSSSCG00000035537","RUNX family transcription factor 1 [Source:VGNC Symbol;Acc:VGNC:92516]"
"534","RB1","ENSG00000139687","534.1.1","RB1","ENSSSCG00000009401","RB transcriptional corepressor 1 [Source:VGNC Symbol;Acc:VGNC:92132]"
"535","LUC7L2","ENSG00000146963","535.1.1","LUC7L2","ENSSSCG00000016509","LUC7 like 2, pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:21608]"
"535","LUC7L2","ENSG00000269955","535.2.1","N/A","N/A","N/A"
"536","SLX4IP","ENSG00000149346","536.1.1","N/A","N/A","N/A"
"537","CARD16","ENSG00000204397","537.1.1","CASP1","ENSSSCG00000028711","caspase 1, apoptosis-related cysteine peptidase [Source:NCBI gene (formerly Entrezgene);Acc:397319]"
"538","XXYLT1","ENSG00000173950","538.1.1","XXYLT1","ENSSSCG00000035414","xyloside xylosyltransferase 1 [Source:VGNC Symbol;Acc:VGNC:95013]"
"539","ITPR2","ENSG00000123104","539.1.1","ITPR2","ENSSSCG00000000555","inositol 1,4,5-trisphosphate receptor type 2 [Source:VGNC Symbol;Acc:VGNC:103294]"
"540","CORO1A","ENSG00000102879","540.1.1","CORO1A","ENSSSCG00000038055","coronin 1A [Source:VGNC Symbol;Acc:VGNC:86912]"
"541","NAP1L4","ENSG00000205531","541.1.1","NAP1L4","ENSSSCG00000012856","nucleosome assembly protein 1 like 4 [Source:VGNC Symbol;Acc:VGNC:90577]"
"542","EIF4E","ENSG00000151247","542.1.1","EIF4E","ENSSSCG00000028420","eukaryotic translation initiation factor 4E [Source:VGNC Symbol;Acc:VGNC:87626]"
"543","IRF5","ENSG00000128604","543.1.1","IRF5","ENSSSCG00000016573","interferon regulatory factor 5 [Source:VGNC Symbol;Acc:VGNC:89208]"
"544","DOCK8","ENSG00000107099","544.1.1","DOCK8","ENSSSCG00000005240","dedicator of cytokinesis 8 [Source:VGNC Symbol;Acc:VGNC:87398]"
"545","PLCL2","ENSG00000154822","545.1.1","PLCL2","ENSSSCG00000029811","phospholipase C like 2 [Source:VGNC Symbol;Acc:VGNC:91523]"
"546","CNNM2","ENSG00000148842","546.1.1","CNNM2","ENSSSCG00000010593","cyclin and CBS domain divalent metal cation transport mediator 2 [Source:VGNC Symbol;Acc:VGNC:86828]"
"547","IVNS1ABP","ENSG00000116679","547.1.1","IVNS1ABP","ENSSSCG00000015570","influenza virus NS1A binding protein [Source:NCBI gene (formerly Entrezgene);Acc:100302027]"
"548","CELF2","ENSG00000048740","548.1.1","ENSSSCG00000011121","ENSSSCG00000011121","CUGBP Elav-like family member 2 [Source:VGNC Symbol;Acc:VGNC:95461]"
"548","CELF2","ENSG00000048740","548.1.2","ENSSSCG00000031855","ENSSSCG00000031855",""
"549","MRTFA","ENSG00000196588","549.1.1","MRTFA","ENSSSCG00000000075","myocardin related transcription factor A [Source:VGNC Symbol;Acc:VGNC:96745]"
"550","BPHL","ENSG00000137274","550.1.1","BPHL","ENSSSCG00000001008","biphenyl hydrolase like [Source:NCBI gene (formerly Entrezgene);Acc:100154272]"
"551","CLN8","ENSG00000182372","551.1.1","CLN8","ENSSSCG00000023155","CLN8 transmembrane ER and ERGIC protein [Source:VGNC Symbol;Acc:VGNC:103067]"
"552","PAPOLA","ENSG00000090060","552.1.1","PAPOLA","ENSSSCG00000002505","poly(A) polymerase alpha [Source:HGNC Symbol;Acc:HGNC:14981]"
"553","PDCL","ENSG00000136940","553.1.1","PDCL","ENSSSCG00000038554","phosducin like [Source:VGNC Symbol;Acc:VGNC:91245]"
"554","ZC3H4","ENSG00000130749","554.1.1","ZC3H4","ENSSSCG00000003110","zinc finger CCCH-type containing 4 [Source:VGNC Symbol;Acc:VGNC:95097]"
"555","HTT","ENSG00000197386","555.1.1","HTT","ENSSSCG00000008697","huntingtin [Source:VGNC Symbol;Acc:VGNC:89006]"
"556","FAM53B","ENSG00000189319","556.1.1","FAM53B","ENSSSCG00000010732","family with sequence similarity 53 member B [Source:VGNC Symbol;Acc:VGNC:87974]"
"557","TMEM150B","ENSG00000180061","557.1.1","TMEM150B","ENSSSCG00000057251","transmembrane protein 150B [Source:HGNC Symbol;Acc:HGNC:34415]"
"558","TIAL1","ENSG00000151923","558.1.1","TIAL1","ENSSSCG00000010685","TIA1 cytotoxic granule associated RNA binding protein like 1 [Source:VGNC Symbol;Acc:VGNC:104073]"
"559","AZI2","ENSG00000163512","559.1.1","AZI2","ENSSSCG00000028258","5-azacytidine induced 2 [Source:VGNC Symbol;Acc:VGNC:85711]"
"560","AIP","ENSG00000110711","560.1.1","AIP","ENSSSCG00000062981","aryl hydrocarbon receptor interacting protein [Source:HGNC Symbol;Acc:HGNC:358]"
"561","RABL3","ENSG00000144840","561.1.1","RABL3","ENSSSCG00000035258","RAB, member of RAS onco family like 3 [Source:VGNC Symbol;Acc:VGNC:98279]"
"562","INCENP","ENSG00000149503","562.1.1","INCENP","ENSSSCG00000013066","inner centromere protein [Source:VGNC Symbol;Acc:VGNC:89130]"
"563","OCEL1","ENSG00000099330","563.1.1","OCEL1","ENSSSCG00000013874","occludin/ELL domain containing 1 [Source:VGNC Symbol;Acc:VGNC:98167]"
"564","TM9SF4","ENSG00000101337","564.1.1","TM9SF4","ENSSSCG00000007246","transmembrane 9 superfamily member 4 [Source:VGNC Symbol;Acc:VGNC:96250]"
"565","USP49","ENSG00000164663","565.1.1","USP49","ENSSSCG00000001629","ubiquitin specific peptidase 49 [Source:VGNC Symbol;Acc:VGNC:94771]"
"566","SLC39A8","ENSG00000138821","566.1.1","SLC39A8","ENSSSCG00000009169","solute carrier family 39 member 8 [Source:VGNC Symbol;Acc:VGNC:93109]"
"567","IRF2BP1","ENSG00000170604","567.1.1","N/A","N/A","N/A"
"568","CASS4","ENSG00000087589","568.1.1","CASS4","ENSSSCG00000007495","Cas scaffold protein family member 4 [Source:VGNC Symbol;Acc:VGNC:103912]"
"569","ITGB1","ENSG00000150093","569.1.1","ITGB1","ENSSSCG00000011101","integrin subunit beta 1 [Source:VGNC Symbol;Acc:VGNC:96381]"
"570","RBBP6","ENSG00000122257","570.1.1","RBBP6","ENSSSCG00000007830","RB binding protein 6, ubiquitin ligase [Source:VGNC Symbol;Acc:VGNC:92136]"
"571","STAM2","ENSG00000115145","571.1.1","STAM2","ENSSSCG00000016399","signal transducing adaptor molecule 2 [Source:VGNC Symbol;Acc:VGNC:95521]"
"572","DAPK1","ENSG00000196730","572.1.1","DAPK1","ENSSSCG00000010949","death associated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:2674]"
"573","TRMT1L","ENSG00000121486","573.1.1","TRMT1L","ENSSSCG00000021393","tRNA methyltransferase 1 like [Source:VGNC Symbol;Acc:VGNC:94447]"
"574","BAIAP2","ENSG00000175866","574.1.1","BAIAP2","ENSSSCG00000017142","BAR/IMD domain containing adaptor protein 2 [Source:VGNC Symbol;Acc:VGNC:85748]"
"575","FCER1G","ENSG00000158869","575.1.1","FCER1G","ENSSSCG00000006357","Fc epsilon receptor Ig [Source:NCBI gene (formerly Entrezgene);Acc:397406]"
"576","TDRD3","ENSG00000083544","576.1.1","TDRD3","ENSSSCG00000009449","tudor domain containing 3 [Source:VGNC Symbol;Acc:VGNC:93848]"
"577","TOM1","ENSG00000100284","577.1.1","TOM1","ENSSSCG00000038943","target of myb1 membrane trafficking protein [Source:VGNC Symbol;Acc:VGNC:95552]"
"578","RTN4","ENSG00000115310","578.1.1","RTN4","ENSSSCG00000032007","reticulon 4 [Source:VGNC Symbol;Acc:VGNC:92502]"
"579","MS4A6E","ENSG00000166926","579.1.1","ENSSSCG00000013100","ENSSSCG00000013100",""
"580","ZNF705A","ENSG00000196946","580.1.1","N/A","N/A","N/A"
"581","CTSH","ENSG00000103811","581.1.1","CTSH","ENSSSCG00000001770","cathepsin H [Source:NCBI gene (formerly Entrezgene);Acc:396969]"
"582","CERS6","ENSG00000172292","582.1.1","CERS6","ENSSSCG00000032715","ceramide synthase 6 [Source:VGNC Symbol;Acc:VGNC:96025]"
"583","TNFAIP3","ENSG00000118503","583.1.1","TNFAIP3","ENSSSCG00000004154","TNF alpha induced protein 3 [Source:VGNC Symbol;Acc:VGNC:94252]"
"584","GSTO1","ENSG00000148834","584.1.1","ENSSSCG00000010610","ENSSSCG00000010610",""
"584","GSTO1","ENSG00000148834","584.1.2","GSTO1","ENSSSCG00000022351","glutathione S-transferase omega 1 [Source:NCBI gene (formerly Entrezgene);Acc:397117]"
"585","TPRA1","ENSG00000163870","585.1.1","ENSSSCG00000011623","ENSSSCG00000011623","transmembrane protein adipocyte associated 1 [Source:VGNC Symbol;Acc:VGNC:94347]"
"586","MYL6","ENSG00000092841","586.1.1","MYL6","ENSSSCG00000039506","myosin light chain 6 [Source:NCBI gene (formerly Entrezgene);Acc:396807]"
"587","CEP120","ENSG00000168944","587.1.1","CEP120","ENSSSCG00000014239","centrosomal protein 120 [Source:VGNC Symbol;Acc:VGNC:86559]"
"588","CCNG2","ENSG00000138764","588.1.1","CCNG2","ENSSSCG00000008988","cyclin G2 [Source:VGNC Symbol;Acc:VGNC:86358]"
"589","CETN3","ENSG00000153140","589.1.1","CETN3","ENSSSCG00000014151","centrin 3 [Source:VGNC Symbol;Acc:VGNC:86592]"
"590","ICAM1","ENSG00000090339","590.1.1","ICAM1","ENSSSCG00000013655","intercellular adhesion molecule 1 [Source:NCBI gene (formerly Entrezgene);Acc:396750]"
"591","RPS13","ENSG00000110700","591.1.1","RPS13","ENSSSCG00000013381","ribosomal protein S13 [Source:NCBI gene (formerly Entrezgene);Acc:100513520]"
"592","COX14","ENSG00000178449","592.1.1","COX14","ENSSSCG00000056361","cytochrome c oxidase assembly factor COX14 [Source:HGNC Symbol;Acc:HGNC:28216]"
"593","PPOX","ENSG00000143224","593.1.1","PPOX","ENSSSCG00000006361","protoporphyrinogen oxidase [Source:VGNC Symbol;Acc:VGNC:91714]"
"594","PTGER4","ENSG00000171522","594.1.1","PTGER4","ENSSSCG00000024439","prostaglandin E receptor 4 [Source:VGNC Symbol;Acc:VGNC:91949]"
"595","CSK","ENSG00000103653","595.1.1","CSK","ENSSSCG00000001900","C-terminal Src kinase [Source:VGNC Symbol;Acc:VGNC:87037]"
"596","TGIF1","ENSG00000177426","596.1.1","TGIF1","ENSSSCG00000024174","TGFB induced factor homeobox 1 [Source:VGNC Symbol;Acc:VGNC:93935]"
"597","TAF6L","ENSG00000162227","597.1.1","TAF6L","ENSSSCG00000020665","TATA-box binding protein associated factor 6 like [Source:VGNC Symbol;Acc:VGNC:93720]"
"598","HNRNPUL1","ENSG00000105323","598.1.1","HNRNPUL1","ENSSSCG00000030049","heteroous nuclear ribonucleoprotein U like 1 [Source:VGNC Symbol;Acc:VGNC:88926]"
"599","ATF6","ENSG00000118217","599.1.1","ATF6","ENSSSCG00000006346","activating transcription factor 6 [Source:VGNC Symbol;Acc:VGNC:85609]"
"600","STIM2","ENSG00000109689","600.1.1","STIM2","ENSSSCG00000008762","stromal interaction molecule 2 [Source:VGNC Symbol;Acc:VGNC:98967]"
"601","FCGR2A","ENSG00000143226","601.1.1","ENSSSCG00000006350","ENSSSCG00000006350","Fc fragment of IgG, low affinity IIb, receptor (CD32) [Source:NCBI gene (formerly Entrezgene);Acc:613131]"
"601","FCGR2A","ENSG00000143226","601.1.2","ENSSSCG00000053490","ENSSSCG00000053490",""
"602","SERPINB6","ENSG00000124570","602.1.1","SERPINB6","ENSSSCG00000038404","serpin family B member 6 [Source:HGNC Symbol;Acc:HGNC:8950]"
"603","COQ7","ENSG00000167186","603.1.1","COQ7","ENSSSCG00000034655","coenzyme Q7, hydroxylase [Source:VGNC Symbol;Acc:VGNC:86909]"
"604","PNPLA8","ENSG00000135241","604.1.1","PNPLA8","ENSSSCG00000015446","patatin like phospholipase domain containing 8 [Source:VGNC Symbol;Acc:VGNC:91610]"
"605","KLF11","ENSG00000172059","605.1.1","KLF11","ENSSSCG00000038643","KLF transcription factor 11 [Source:NCBI gene (formerly Entrezgene);Acc:100174954]"
"606","SCARB2","ENSG00000138760","606.1.1","SCARB2","ENSSSCG00000008980","scavenger receptor class B member 2 [Source:VGNC Symbol;Acc:VGNC:92614]"
"607","CLEC4A","ENSG00000111729","607.1.1","ENSSSCG00000040826","ENSSSCG00000040826",""
"607","CLEC4A","ENSG00000111729","607.1.2","ENSSSCG00000060315","ENSSSCG00000060315",""
"608","MRPS33","ENSG00000090263","608.1.1","MRPS33","ENSSSCG00000013470","mitochondrial ribosomal protein S33 [Source:VGNC Symbol;Acc:VGNC:90395]"
"609","MTMR10","ENSG00000166912","609.1.1","MTMR10","ENSSSCG00000004844","myotubularin related protein 10 [Source:VGNC Symbol;Acc:VGNC:90457]"
"610","TMEM87B","ENSG00000153214","610.1.1","TMEM87B","ENSSSCG00000026954","transmembrane protein 87B [Source:VGNC Symbol;Acc:VGNC:94213]"
"611","DTWD2","ENSG00000169570","611.1.1","DTWD2","ENSSSCG00000014225","DTW domain containing 2 [Source:VGNC Symbol;Acc:VGNC:87465]"
"612","SLC6A6","ENSG00000131389","612.1.1","SLC6A6","ENSSSCG00000011600","solute carrier family 6 member 6 [Source:VGNC Symbol;Acc:VGNC:93166]"
"613","LGMN","ENSG00000100600","613.1.1","LGMN","ENSSSCG00000002452","legumain [Source:VGNC Symbol;Acc:VGNC:89702]"
"614","RASGRP3","ENSG00000152689","614.1.1","RASGRP3","ENSSSCG00000008509","RAS guanyl releasing protein 3 [Source:VGNC Symbol;Acc:VGNC:92115]"
"615","ZFP36L1","ENSG00000185650","615.1.1","ZFP36L1","ENSSSCG00000028304","ZFP36 ring finger protein like 1 [Source:VGNC Symbol;Acc:VGNC:95146]"
"616","AFF1","ENSG00000172493","616.1.1","AFF1","ENSSSCG00000023593","ALF transcription elongation factor 1 [Source:VGNC Symbol;Acc:VGNC:85167]"
"617","MCM4","ENSG00000104738","617.1.1","MCM4","ENSSSCG00000006273","minichromosome maintenance complex component 4 [Source:VGNC Symbol;Acc:VGNC:90075]"
"618","ERCC1","ENSG00000012061","618.1.1","ERCC1","ENSSSCG00000055289","ERCC excision repair 1, endonuclease non-catalytic subunit [Source:NCBI gene (formerly Entrezgene);Acc:100286808]"
"619","HDAC4","ENSG00000068024","619.1.1","HDAC4","ENSSSCG00000024777","histone deacetylase 4 [Source:VGNC Symbol;Acc:VGNC:95602]"
"620","UNC93B1","ENSG00000110057","620.1.1","UNC93B1","ENSSSCG00000012893","unc-93 homolog B1, TLR signaling regulator [Source:VGNC Symbol;Acc:VGNC:94712]"
"621","MBNL1","ENSG00000152601","621.1.1","MBNL1","ENSSSCG00000011720","muscleblind like splicing regulator 1 [Source:VGNC Symbol;Acc:VGNC:90054]"
"622","ALDH9A1","ENSG00000143149","622.1.1","ENSSSCG00000006324","ENSSSCG00000006324","aldehyde dehydrogenase 9 family member A1 [Source:VGNC Symbol;Acc:VGNC:109625]"
"623","PAQR7","ENSG00000182749","623.1.1","PAQR7","ENSSSCG00000003551","progestin and adipoQ receptor family member 7 [Source:VGNC Symbol;Acc:VGNC:91177]"
"624","ATAD2B","ENSG00000119778","624.1.1","ATAD2B","ENSSSCG00000008591","ATPase family AAA domain containing 2B [Source:VGNC Symbol;Acc:VGNC:85600]"
"625","NOCT","ENSG00000151014","625.1.1","NOCT","ENSSSCG00000024596","nocturnin [Source:VGNC Symbol;Acc:VGNC:90810]"
"626","DSE","ENSG00000111817","626.1.1","DSE","ENSSSCG00000004441","dermatan sulfate epimerase [Source:VGNC Symbol;Acc:VGNC:103084]"
"627","BLMH","ENSG00000108578","627.1.1","BLMH","ENSSSCG00000017796","bleomycin hydrolase [Source:VGNC Symbol;Acc:VGNC:109660]"
"628","U2AF2","ENSG00000063244","628.1.1","U2AF2","ENSSSCG00000034815","U2 small nuclear RNA auxiliary factor 2 [Source:VGNC Symbol;Acc:VGNC:94623]"
"629","METTL9","ENSG00000197006","629.1.1","METTL9","ENSSSCG00000030373","methyltransferase 9, His-X-His N1(pi)-histidine [Source:VGNC Symbol;Acc:VGNC:103984]"
"630","THG1L","ENSG00000113272","630.1.1","THG1L","ENSSSCG00000036047","tRNA-histidine guanylyltransferase 1 like [Source:VGNC Symbol;Acc:VGNC:93955]"
"631","PIK3R1","ENSG00000145675","631.1.1","PIK3R1","ENSSSCG00000016958","phosphoinositide-3-kinase regulatory subunit 1 [Source:VGNC Symbol;Acc:VGNC:91445]"
"632","PLCD1","ENSG00000187091","632.1.1","PLCD1","ENSSSCG00000027550","phospholipase C delta 1 [Source:NCBI gene (formerly Entrezgene);Acc:100627099]"
"633","CDKN1B","ENSG00000111276","633.1.1","CDKN1B","ENSSSCG00000037144","cyclin dependent kinase inhibitor 1B [Source:NCBI gene (formerly Entrezgene);Acc:397584]"
"634","PLA2G15","ENSG00000103066","634.1.1","PLA2G15","ENSSSCG00000057510","phospholipase A2 group XV [Source:HGNC Symbol;Acc:HGNC:17163]"
"635","CYB561A3","ENSG00000162144","635.1.1","CYB561A3","ENSSSCG00000013086","cytochrome b561 family member A3 [Source:VGNC Symbol;Acc:VGNC:87120]"
"636","CLHC1","ENSG00000162994","636.1.1","CLHC1","ENSSSCG00000008402","clathrin heavy chain linker domain containing 1 [Source:VGNC Symbol;Acc:VGNC:86760]"
"637","DCUN1D3","ENSG00000188215","637.1.1","DCUN1D3","ENSSSCG00000007854","defective in cullin neddylation 1 domain containing 3 [Source:VGNC Symbol;Acc:VGNC:87196]"
"638","MERTK","ENSG00000153208","638.1.1","MERTK","ENSSSCG00000008103","MER proto-onco, tyrosine kinase [Source:VGNC Symbol;Acc:VGNC:90146]"
"639","MRPL51","ENSG00000111639","639.1.1","MRPL51","ENSSSCG00000039662","mitochondrial ribosomal protein L51 [Source:VGNC Symbol;Acc:VGNC:90374]"
"640","VRK3","ENSG00000105053","640.1.1","VRK3","ENSSSCG00000003204","VRK serine/threonine kinase 3 [Source:VGNC Symbol;Acc:VGNC:98409]"
"641","RNH1","ENSG00000023191","641.1.1","RNH1","ENSSSCG00000032010","ribonuclease/angiogenin inhibitor 1 [Source:VGNC Symbol;Acc:VGNC:100852]"
"642","TRAK1","ENSG00000182606","642.1.1","TRAK1","ENSSSCG00000011278","trafficking kinesin protein 1 [Source:VGNC Symbol;Acc:VGNC:94369]"
