"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"332","ZNF263","ENSG00000006194","332.1.1","Zfp263","ENSMUSG00000022529","zinc finger protein 263 [Source:MGI Symbol;Acc:MGI:1921370]"
"333","ESYT1","ENSG00000139641","333.1.1","Esyt1","ENSMUSG00000025366","extended synaptotagmin-like protein 1 [Source:MGI Symbol;Acc:MGI:1344426]"
"334","SLC43A2","ENSG00000167703","334.1.1","Slc43a2","ENSMUSG00000038178","solute carrier family 43, member 2 [Source:MGI Symbol;Acc:MGI:2442746]"
"335","FSTL3","ENSG00000070404","335.1.1","Fstl3","ENSMUSG00000020325","follistatin-like 3 [Source:MGI Symbol;Acc:MGI:1890391]"
"336","GNG2","ENSG00000186469","336.1.1","Gng2","ENSMUSG00000043004","guanine nucleotide binding protein (G protein), gamma 2 [Source:MGI Symbol;Acc:MGI:102705]"
"337","GALE","ENSG00000117308","337.1.1","Gale","ENSMUSG00000028671","galactose-4-epimerase, UDP [Source:MGI Symbol;Acc:MGI:1921496]"
"338","ZEB2","ENSG00000169554","338.1.1","Zeb2","ENSMUSG00000026872","zinc finger E-box binding homeobox 2 [Source:MGI Symbol;Acc:MGI:1344407]"
"339","OSBPL3","ENSG00000070882","339.1.1","Osbpl3","ENSMUSG00000029822","oxysterol binding protein-like 3 [Source:MGI Symbol;Acc:MGI:1918970]"
"340","UQCR10","ENSG00000184076","340.1.1","Uqcr10","ENSMUSG00000059534","ubiquinol-cytochrome c reductase, complex III subunit X [Source:MGI Symbol;Acc:MGI:1913402]"
"341","DOCK2","ENSG00000134516","341.1.1","Dock2","ENSMUSG00000020143","dedicator of cyto-kinesis 2 [Source:MGI Symbol;Acc:MGI:2149010]"
"342","IL10RA","ENSG00000110324","342.1.1","Il10ra","ENSMUSG00000032089","interleukin 10 receptor, alpha [Source:MGI Symbol;Acc:MGI:96538]"
"343","NUFIP2","ENSG00000108256","343.1.1","Nufip2","ENSMUSG00000037857","nuclear FMR1 interacting protein 2 [Source:MGI Symbol;Acc:MGI:1915814]"
"344","HERPUD1","ENSG00000051108","344.1.1","Herpud1","ENSMUSG00000031770","homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1 [Source:MGI Symbol;Acc:MGI:1927406]"
"345","CCR3","ENSG00000183625","345.1.1","Ccr3","ENSMUSG00000035448","C-C motif chemokine receptor 3 [Source:MGI Symbol;Acc:MGI:104616]"
"346","FNBP1","ENSG00000187239","346.1.1","Fnbp1","ENSMUSG00000075415","formin binding protein 1 [Source:MGI Symbol;Acc:MGI:109606]"
"347","TFB1M","ENSG00000029639","347.1.1","Tfb1m","ENSMUSG00000036983","transcription factor B1, mitochondrial [Source:MGI Symbol;Acc:MGI:2146851]"
"348","MEF2A","ENSG00000068305","348.1.1","Mef2a","ENSMUSG00000030557","myocyte enhancer factor 2A [Source:MGI Symbol;Acc:MGI:99532]"
"349","SP1","ENSG00000185591","349.1.1","Sp1","ENSMUSG00000001280","trans-acting transcription factor 1 [Source:MGI Symbol;Acc:MGI:98372]"
"350","CREBRF","ENSG00000164463","350.1.1","Crebrf","ENSMUSG00000048249","CREB3 regulatory factor [Source:MGI Symbol;Acc:MGI:1924378]"
"351","BCKDHA","ENSG00000248098","351.1.1","Bckdha","ENSMUSG00000060376","branched chain ketoacid dehydrogenase E1, alpha polypeptide [Source:MGI Symbol;Acc:MGI:107701]"
"352","FBXL19","ENSG00000099364","352.1.1","Fbxl19","ENSMUSG00000030811","F-box and leucine-rich repeat protein 19 [Source:MGI Symbol;Acc:MGI:3039600]"
"353","CPEB3","ENSG00000107864","353.1.1","Cpeb3","ENSMUSG00000039652","cytoplasmic polyadenylation element binding protein 3 [Source:MGI Symbol;Acc:MGI:2443075]"
"354","TUBA1C","ENSG00000167553","354.1.1","Tuba1c","ENSMUSG00000043091","tubulin, alpha 1C [Source:MGI Symbol;Acc:MGI:1095409]"
"355","TK2","ENSG00000166548","355.1.1","Tk2","ENSMUSG00000035824","thymidine kinase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1913266]"
"356","ZSCAN2","ENSG00000176371","356.1.1","Zscan2","ENSMUSG00000038797","zinc finger and SCAN domain containing 2 [Source:MGI Symbol;Acc:MGI:99176]"
"357","RAB1A","ENSG00000138069","357.1.1","Rab1a","ENSMUSG00000020149","RAB1A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:97842]"
"358","SGMS1","ENSG00000198964","358.1.1","Sgms1","ENSMUSG00000040451","sphingomyelin synthase 1 [Source:MGI Symbol;Acc:MGI:2444110]"
"359","AHCYL2","ENSG00000158467","359.1.1","Ahcyl2","ENSMUSG00000029772","S-adenosylhomocysteine hydrolase-like 2 [Source:MGI Symbol;Acc:MGI:1921590]"
"360","NCOA4","ENSG00000266412","360.1.1","Ncoa4","ENSMUSG00000056234","nuclear receptor coactivator 4 [Source:MGI Symbol;Acc:MGI:1350932]"
"361","SPAST","ENSG00000021574","361.1.1","Spast","ENSMUSG00000024068","spastin [Source:MGI Symbol;Acc:MGI:1858896]"
"362","ATP2A2","ENSG00000174437","362.1.1","Atp2a2","ENSMUSG00000029467","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 [Source:MGI Symbol;Acc:MGI:88110]"
"363","RAB31","ENSG00000168461","363.1.1","Rab31","ENSMUSG00000056515","RAB31, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1914603]"
"364","TSC22D2","ENSG00000196428","364.1.1","Tsc22d2","ENSMUSG00000027806","TSC22 domain family, member 2 [Source:MGI Symbol;Acc:MGI:1919283]"
"365","MILR1","ENSG00000271605","365.1.1","Milr1","ENSMUSG00000040528","mast cell immunoglobulin like receptor 1 [Source:MGI Symbol;Acc:MGI:2685731]"
"366","CD74","ENSG00000019582","366.1.1","Cd74","ENSMUSG00000024610","CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated) [Source:MGI Symbol;Acc:MGI:96534]"
"367","TRIM8","ENSG00000171206","367.1.1","Trim8","ENSMUSG00000025034","tripartite motif-containing 8 [Source:MGI Symbol;Acc:MGI:1933302]"
"368","SEC11C","ENSG00000166562","368.1.1","Sec11c","ENSMUSG00000024516","SEC11 homolog C, signal peptidase complex subunit [Source:MGI Symbol;Acc:MGI:1913536]"
"369","BCAS3","ENSG00000141376","369.1.1","Bcas3","ENSMUSG00000059439","BCAS3 microtubule associated cell migration factor [Source:MGI Symbol;Acc:MGI:2385848]"
"370","CREB5","ENSG00000146592","370.1.1","Creb5","ENSMUSG00000053007","cAMP responsive element binding protein 5 [Source:MGI Symbol;Acc:MGI:2443973]"
"371","IGF1R","ENSG00000140443","371.1.1","Igf1r","ENSMUSG00000005533","insulin-like growth factor I receptor [Source:MGI Symbol;Acc:MGI:96433]"
"372","CYTH4","ENSG00000100055","372.1.1","Cyth4","ENSMUSG00000018008","cytohesin 4 [Source:MGI Symbol;Acc:MGI:2441702]"
"373","SLC37A4","ENSG00000137700","373.1.1","Slc37a4","ENSMUSG00000032114","solute carrier family 37 (glucose-6-phosphate transporter), member 4 [Source:MGI Symbol;Acc:MGI:1316650]"
"374","TSPYL1","ENSG00000189241","374.1.1","Tspyl1","ENSMUSG00000047514","testis-specific protein, Y-encoded-like 1 [Source:MGI Symbol;Acc:MGI:1298395]"
"375","PIGX","ENSG00000163964","375.1.1","Pigx","ENSMUSG00000023791","phosphatidylinositol glycan anchor biosynthesis, class X [Source:MGI Symbol;Acc:MGI:1919334]"
"376","SH3TC1","ENSG00000125089","376.1.1","Sh3tc1","ENSMUSG00000036553","SH3 domain and tetratricopeptide repeats 1 [Source:MGI Symbol;Acc:MGI:2678949]"
"377","FTL","ENSG00000087086","377.1.1","Ftl1","ENSMUSG00000050708","ferritin light polypeptide 1 [Source:MGI Symbol;Acc:MGI:95589]"
"377","FTL","ENSG00000087086","377.1.2","Ftl1-ps1","ENSMUSG00000062382","ferritin light polypeptide 1, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3779109]"
"378","CAND1","ENSG00000111530","378.1.1","Cand1","ENSMUSG00000020114","cullin associated and neddylation disassociated 1 [Source:MGI Symbol;Acc:MGI:1261820]"
"379","KLF6","ENSG00000067082","379.1.1","Klf6","ENSMUSG00000000078","Kruppel-like transcription factor 6 [Source:MGI Symbol;Acc:MGI:1346318]"
"380","CYB5D2","ENSG00000167740","380.1.1","Cyb5d2","ENSMUSG00000057778","cytochrome b5 domain containing 2 [Source:MGI Symbol;Acc:MGI:2684848]"
"381","TNFAIP8","ENSG00000145779","381.1.1","Tnfaip8","ENSMUSG00000062210","tumor necrosis factor, alpha-induced protein 8 [Source:MGI Symbol;Acc:MGI:2147191]"
"382","VPS26C","ENSG00000157538","382.1.1","Vps26c","ENSMUSG00000022898","VPS26 endosomal protein sorting factor C [Source:MGI Symbol;Acc:MGI:1206040]"
"383","NCOR2","ENSG00000196498","383.1.1","Ncor2","ENSMUSG00000029478","nuclear receptor co-repressor 2 [Source:MGI Symbol;Acc:MGI:1337080]"
"384","IL10RB","ENSG00000243646","384.1.1","Il10rb","ENSMUSG00000022969","interleukin 10 receptor, beta [Source:MGI Symbol;Acc:MGI:109380]"
"385","CHD9","ENSG00000177200","385.1.1","Chd9","ENSMUSG00000056608","chromodomain helicase DNA binding protein 9 [Source:MGI Symbol;Acc:MGI:1924001]"
"386","RREB1","ENSG00000124782","386.1.1","Rreb1","ENSMUSG00000039087","ras responsive element binding protein 1 [Source:MGI Symbol;Acc:MGI:2443664]"
"387","GOPC","ENSG00000047932","387.1.1","Gopc","ENSMUSG00000019861","golgi associated PDZ and coiled-coil motif containing [Source:MGI Symbol;Acc:MGI:2149946]"
"388","RHOBTB1","ENSG00000072422","388.1.1","Rhobtb1","ENSMUSG00000019944","Rho-related BTB domain containing 1 [Source:MGI Symbol;Acc:MGI:1916538]"
"389","TMBIM6","ENSG00000139644","389.1.1","Tmbim6","ENSMUSG00000023010","transmembrane BAX inhibitor motif containing 6 [Source:MGI Symbol;Acc:MGI:99682]"
"390","RNF145","ENSG00000145860","390.1.1","Rnf145","ENSMUSG00000019189","ring finger protein 145 [Source:MGI Symbol;Acc:MGI:1921565]"
"391","SNX13","ENSG00000071189","391.1.1","Snx13","ENSMUSG00000020590","sorting nexin 13 [Source:MGI Symbol;Acc:MGI:2661416]"
"392","JKAMP","ENSG00000050130","392.1.1","Jkamp","ENSMUSG00000005078","JNK1/MAPK8-associated membrane protein [Source:MGI Symbol;Acc:MGI:1915057]"
"392","JKAMP","ENSG00000050130","392.1.2","Jkampl","ENSMUSG00000056197","JNK1/MAPK8 associated membrane protein like [Source:MGI Symbol;Acc:MGI:1913990]"
"393","CHKA","ENSG00000110721","393.1.1","Chka","ENSMUSG00000024843","choline kinase alpha [Source:MGI Symbol;Acc:MGI:107760]"
"394","WDFY4","ENSG00000128815","394.1.1","Wdfy4","ENSMUSG00000051506","WD repeat and FYVE domain containing 4 [Source:MGI Symbol;Acc:MGI:3584510]"
"395","CITED2","ENSG00000164442","395.1.1","Cited2","ENSMUSG00000039910","Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 [Source:MGI Symbol;Acc:MGI:1306784]"
"396","CD44","ENSG00000026508","396.1.1","Cd44","ENSMUSG00000005087","CD44 antigen [Source:MGI Symbol;Acc:MGI:88338]"
"397","NRIP1","ENSG00000180530","397.1.1","Nrip1","ENSMUSG00000048490","nuclear receptor interacting protein 1 [Source:MGI Symbol;Acc:MGI:1315213]"
"398","CIC","ENSG00000079432","398.1.1","Cic","ENSMUSG00000005442","capicua transcriptional repressor [Source:MGI Symbol;Acc:MGI:1918972]"
"399","SRSF6","ENSG00000124193","399.1.1","Srsf6","ENSMUSG00000016921","serine and arginine-rich splicing factor 6 [Source:MGI Symbol;Acc:MGI:1915246]"
"400","PTPN22","ENSG00000134242","400.1.1","Ptpn22","ENSMUSG00000027843","protein tyrosine phosphatase, non-receptor type 22 (lymphoid) [Source:MGI Symbol;Acc:MGI:107170]"
"401","CASP1","ENSG00000137752","401.1.1","Casp1","ENSMUSG00000025888","caspase 1 [Source:MGI Symbol;Acc:MGI:96544]"
"402","AKAP10","ENSG00000108599","402.1.1","Akap10","ENSMUSG00000047804","A kinase anchor protein 10 [Source:MGI Symbol;Acc:MGI:1890218]"
"403","DAGLB","ENSG00000164535","403.1.1","Daglb","ENSMUSG00000039206","diacylglycerol lipase, beta [Source:MGI Symbol;Acc:MGI:2442032]"
"404","LBR","ENSG00000143815","404.1.1","Lbr","ENSMUSG00000004880","lamin B receptor [Source:MGI Symbol;Acc:MGI:2138281]"
"405","GADD45A","ENSG00000116717","405.1.1","Gadd45a","ENSMUSG00000036390","growth arrest and DNA-damage-inducible 45 alpha [Source:MGI Symbol;Acc:MGI:107799]"
"406","BTBD19","ENSG00000222009","406.1.1","Btbd19","ENSMUSG00000073771","BTB domain containing 19 [Source:MGI Symbol;Acc:MGI:1925861]"
"407","SLC17A5","ENSG00000119899","407.1.1","Slc17a5","ENSMUSG00000049624","solute carrier family 17 (anion/sugar transporter), member 5 [Source:MGI Symbol;Acc:MGI:1924105]"
"408","PPARG","ENSG00000132170","408.1.1","Pparg","ENSMUSG00000000440","peroxisome proliferator activated receptor gamma [Source:MGI Symbol;Acc:MGI:97747]"
"409","RUSC1","ENSG00000160753","409.1.1","Rusc1","ENSMUSG00000041263","RUN and SH3 domain containing 1 [Source:MGI Symbol;Acc:MGI:1919546]"
"410","FIG4","ENSG00000112367","410.1.1","Fig4","ENSMUSG00000038417","FIG4 phosphoinositide 5-phosphatase [Source:MGI Symbol;Acc:MGI:2143585]"
"411","CEP97","ENSG00000182504","411.1.1","Cep97","ENSMUSG00000022604","centrosomal protein 97 [Source:MGI Symbol;Acc:MGI:1921451]"
"412","MPP1","ENSG00000130830","412.1.1","Mpp1","ENSMUSG00000031402","membrane protein, palmitoylated [Source:MGI Symbol;Acc:MGI:105941]"
"413","ITGA4","ENSG00000115232","413.1.1","Itga4","ENSMUSG00000027009","integrin alpha 4 [Source:MGI Symbol;Acc:MGI:96603]"
"414","KDM8","ENSG00000155666","414.1.1","Kdm8","ENSMUSG00000030752","lysine (K)-specific demethylase 8 [Source:MGI Symbol;Acc:MGI:1924285]"
"415","SBF2","ENSG00000133812","415.1.1","Sbf2","ENSMUSG00000038371","SET binding factor 2 [Source:MGI Symbol;Acc:MGI:1921831]"
"416","KMT2E","ENSG00000005483","416.1.1","Kmt2e","ENSMUSG00000029004","lysine (K)-specific methyltransferase 2E [Source:MGI Symbol;Acc:MGI:1924825]"
"417","PER1","ENSG00000179094","417.1.1","Per1","ENSMUSG00000020893","period circadian clock 1 [Source:MGI Symbol;Acc:MGI:1098283]"
"418","P2RY1","ENSG00000169860","418.1.1","P2ry1","ENSMUSG00000027765","purinergic receptor P2Y, G-protein coupled 1 [Source:MGI Symbol;Acc:MGI:105049]"
"419","TLE4","ENSG00000106829","419.1.1","Tle4","ENSMUSG00000024642","transducin-like enhancer of split 4 [Source:MGI Symbol;Acc:MGI:104633]"
"420","CDC14A","ENSG00000079335","420.1.1","Cdc14a","ENSMUSG00000033502","CDC14 cell division cycle 14A [Source:MGI Symbol;Acc:MGI:2442676]"
"421","CYTIP","ENSG00000115165","421.1.1","Cytip","ENSMUSG00000026832","cytohesin 1 interacting protein [Source:MGI Symbol;Acc:MGI:2183535]"
"422","AGPAT1","ENSG00000204310","422.1.1","Agpat1","ENSMUSG00000034254","1-acylglycerol-3-phosphate O-acyltransferase 1 [Source:MGI Symbol;Acc:MGI:1932075]"
"423","BBIP1","ENSG00000214413","423.1.1","Bbip1","ENSMUSG00000084957","BBSome interacting protein 1 [Source:MGI Symbol;Acc:MGI:1913610]"
"424","SND1","ENSG00000197157","424.1.1","Snd1","ENSMUSG00000001424","staphylococcal nuclease and tudor domain containing 1 [Source:MGI Symbol;Acc:MGI:1929266]"
"425","GMPR","ENSG00000137198","425.1.1","Gmpr","ENSMUSG00000000253","guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]"
"426","CDC42EP3","ENSG00000163171","426.1.1","Cdc42ep3","ENSMUSG00000036533","CDC42 effector protein 3 [Source:MGI Symbol;Acc:MGI:2384718]"
"427","ARL6IP5","ENSG00000144746","427.1.1","Arl6ip5","ENSMUSG00000035199","ADP-ribosylation factor-like 6 interacting protein 5 [Source:MGI Symbol;Acc:MGI:1929501]"
"428","WSB1","ENSG00000109046","428.1.1","Wsb1","ENSMUSG00000017677","WD repeat and SOCS box-containing 1 [Source:MGI Symbol;Acc:MGI:1926139]"
"429","UTRN","ENSG00000152818","429.1.1","Utrn","ENSMUSG00000019820","utrophin [Source:MGI Symbol;Acc:MGI:104631]"
"430","FAM168A","ENSG00000054965","430.1.1","Fam168a","ENSMUSG00000029461","family with sequence similarity 168, member A [Source:MGI Symbol;Acc:MGI:2442372]"
"431","SPG7","ENSG00000197912","431.1.1","Spg7","ENSMUSG00000000738","SPG7, paraplegin matrix AAA peptidase subunit [Source:MGI Symbol;Acc:MGI:2385906]"
"432","ELMO2","ENSG00000062598","432.1.1","Elmo2","ENSMUSG00000017670","engulfment and cell motility 2 [Source:MGI Symbol;Acc:MGI:2153045]"
"433","HTD2","ENSG00000255154","433.1.1","Rpp14","ENSMUSG00000023156","ribonuclease P 14 subunit [Source:MGI Symbol;Acc:MGI:1914303]"
"434","ARID5B","ENSG00000150347","434.1.1","Arid5b","ENSMUSG00000019947","AT-rich interaction domain 5B [Source:MGI Symbol;Acc:MGI:2175912]"
"435","GTPBP1","ENSG00000100226","435.1.1","Gtpbp1","ENSMUSG00000042535","GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:109443]"
"436","NBEAL1","ENSG00000144426","436.1.1","Nbeal1","ENSMUSG00000073664","neurobeachin like 1 [Source:MGI Symbol;Acc:MGI:2444343]"
"437","BRD2","ENSG00000204256","437.1.1","Brd2","ENSMUSG00000024335","bromodomain containing 2 [Source:MGI Symbol;Acc:MGI:99495]"
"438","FUZ","ENSG00000010361","438.1.1","Fuz","ENSMUSG00000011658","fuzzy planar cell polarity protein [Source:MGI Symbol;Acc:MGI:1917550]"
"439","COQ2","ENSG00000173085","439.1.1","Coq2","ENSMUSG00000029319","coenzyme Q2 4-hydroxybenzoate polyprenyltransferase [Source:MGI Symbol;Acc:MGI:1919133]"
"440","UBE2J1","ENSG00000198833","440.1.1","Ube2j1","ENSMUSG00000028277","ubiquitin-conjugating enzyme E2J 1 [Source:MGI Symbol;Acc:MGI:1926245]"
"441","ABR","ENSG00000159842","441.1.1","Abr","ENSMUSG00000017631","active BCR-related gene [Source:MGI Symbol;Acc:MGI:107771]"
"442","BNIP3L","ENSG00000104765","442.1.1","Bnip3l","ENSMUSG00000022051","BCL2/adenovirus E1B interacting protein 3-like [Source:MGI Symbol;Acc:MGI:1332659]"
"443","CBLB","ENSG00000114423","443.1.1","Cblb","ENSMUSG00000022637","Casitas B-lineage lymphoma b [Source:MGI Symbol;Acc:MGI:2146430]"
"444","NCKAP1L","ENSG00000123338","444.1.1","Nckap1l","ENSMUSG00000022488","NCK associated protein 1 like [Source:MGI Symbol;Acc:MGI:1926063]"
"445","COQ8A","ENSG00000163050","445.1.1","Coq8a","ENSMUSG00000026489","coenzyme Q8A [Source:MGI Symbol;Acc:MGI:1914676]"
"446","PPP4R1","ENSG00000154845","446.1.1","Ppp4r1","ENSMUSG00000061950","protein phosphatase 4, regulatory subunit 1 [Source:MGI Symbol;Acc:MGI:1917601]"
"447","FNDC3B","ENSG00000075420","447.1.1","Fndc3b","ENSMUSG00000039286","fibronectin type III domain containing 3B [Source:MGI Symbol;Acc:MGI:1919257]"
"448","C10ORF143","ENSG00000237489","448.1.1","9430038I01Rik","ENSMUSG00000040139","RIKEN cDNA 9430038I01 gene [Source:MGI Symbol;Acc:MGI:1924502]"
"449","YPEL2","ENSG00000175155","449.1.1","Ypel2","ENSMUSG00000018427","yippee like 2 [Source:MGI Symbol;Acc:MGI:1925114]"
"450","NCOA7","ENSG00000111912","450.1.1","Ncoa7","ENSMUSG00000039697","nuclear receptor coactivator 7 [Source:MGI Symbol;Acc:MGI:2444847]"
"451","INPP5D","ENSG00000168918","451.1.1","Inpp5d","ENSMUSG00000026288","inositol polyphosphate-5-phosphatase D [Source:MGI Symbol;Acc:MGI:107357]"
"452","CD86","ENSG00000114013","452.1.1","Cd86","ENSMUSG00000022901","CD86 antigen [Source:MGI Symbol;Acc:MGI:101773]"
"453","CDKN2C","ENSG00000123080","453.1.1","Cdkn2c","ENSMUSG00000028551","cyclin dependent kinase inhibitor 2C [Source:MGI Symbol;Acc:MGI:105388]"
"454","BAZ1B","ENSG00000009954","454.1.1","Baz1b","ENSMUSG00000002748","bromodomain adjacent to zinc finger domain, 1B [Source:MGI Symbol;Acc:MGI:1353499]"
"455","SWAP70","ENSG00000133789","455.1.1","Swap70","ENSMUSG00000031015","SWA-70 protein [Source:MGI Symbol;Acc:MGI:1298390]"
"456","ANGEL2","ENSG00000174606","456.1.1","Angel2","ENSMUSG00000026634","angel homolog 2 [Source:MGI Symbol;Acc:MGI:1196310]"
"457","MSR1","ENSG00000038945","457.1.1","Msr1","ENSMUSG00000025044","macrophage scavenger receptor 1 [Source:MGI Symbol;Acc:MGI:98257]"
"458","GRK6","ENSG00000198055","458.1.1","Grk6","ENSMUSG00000074886","G protein-coupled receptor kinase 6 [Source:MGI Symbol;Acc:MGI:1347078]"
"459","PPRC1","ENSG00000148840","459.1.1","Pprc1","ENSMUSG00000055491","peroxisome proliferative activated receptor, gamma, coactivator-related 1 [Source:MGI Symbol;Acc:MGI:2385096]"
"460","C1QC","ENSG00000159189","460.1.1","C1qc","ENSMUSG00000036896","complement component 1, q subcomponent, C chain [Source:MGI Symbol;Acc:MGI:88225]"
"461","NADK","ENSG00000008130","461.1.1","Nadk","ENSMUSG00000029063","NAD kinase [Source:MGI Symbol;Acc:MGI:2183149]"
"462","LYL1","ENSG00000104903","462.1.1","Lyl1","ENSMUSG00000034041","lymphoblastomic leukemia 1 [Source:MGI Symbol;Acc:MGI:96891]"
"463","TMEM259","ENSG00000182087","463.1.1","Tmem259","ENSMUSG00000013858","transmembrane protein 259 [Source:MGI Symbol;Acc:MGI:2177957]"
"464","PNKD","ENSG00000127838","464.1.1","Pnkd","ENSMUSG00000026179","paroxysmal nonkinesiogenic dyskinesia [Source:MGI Symbol;Acc:MGI:1930773]"
"465","MAPK6","ENSG00000069956","465.1.1","Mapk6","ENSMUSG00000042688","mitogen-activated protein kinase 6 [Source:MGI Symbol;Acc:MGI:1354946]"
"466","ZNF260","ENSG00000254004","466.1.1","Zfp260","ENSMUSG00000049421","zinc finger protein 260 [Source:MGI Symbol;Acc:MGI:1347071]"
"467","TBC1D2B","ENSG00000167202","467.1.1","Tbc1d2b","ENSMUSG00000037410","TBC1 domain family, member 2B [Source:MGI Symbol;Acc:MGI:1914266]"
"468","SPEN","ENSG00000065526","468.1.1","Spen","ENSMUSG00000040761","spen family transcription repressor [Source:MGI Symbol;Acc:MGI:1891706]"
"469","NPC1","ENSG00000141458","469.1.1","Npc1","ENSMUSG00000024413","NPC intracellular cholesterol transporter 1 [Source:MGI Symbol;Acc:MGI:1097712]"
"470","P2RX7","ENSG00000089041","470.1.1","P2rx7","ENSMUSG00000029468","purinergic receptor P2X, ligand-gated ion channel, 7 [Source:MGI Symbol;Acc:MGI:1339957]"
"471","FADS1","ENSG00000149485","471.1.1","Fads1","ENSMUSG00000010663","fatty acid desaturase 1 [Source:MGI Symbol;Acc:MGI:1923517]"
"472","ADD3","ENSG00000148700","472.1.1","Add3","ENSMUSG00000025026","adducin 3 [Source:MGI Symbol;Acc:MGI:1351615]"
"473","SLFN12","ENSG00000172123","473.1.1","Slfn4","ENSMUSG00000000204","schlafen 4 [Source:MGI Symbol;Acc:MGI:1329010]"
"473","SLFN12","ENSG00000172123","473.1.2","Slfn3","ENSMUSG00000018986","schlafen 3 [Source:MGI Symbol;Acc:MGI:1329005]"
"473","SLFN12","ENSG00000172123","473.1.3","Slfn2","ENSMUSG00000072620","schlafen 2 [Source:MGI Symbol;Acc:MGI:1313258]"
"473","SLFN12","ENSG00000172123","473.1.4","Slfn1","ENSMUSG00000078763","schlafen 1 [Source:MGI Symbol;Acc:MGI:1313259]"
"474","ZC3H12D","ENSG00000178199","474.1.1","Zc3h12d","ENSMUSG00000039981","zinc finger CCCH type containing 12D [Source:MGI Symbol;Acc:MGI:3045313]"
"475","GOLIM4","ENSG00000173905","475.1.1","Golim4","ENSMUSG00000034109","golgi integral membrane protein 4 [Source:MGI Symbol;Acc:MGI:1920374]"
"476","ENY2","ENSG00000120533","476.1.1","Eny2","ENSMUSG00000022338","ENY2 transcription and export complex 2 subunit [Source:MGI Symbol;Acc:MGI:1919286]"
"477","CAT","ENSG00000121691","477.1.1","Cat","ENSMUSG00000027187","catalase [Source:MGI Symbol;Acc:MGI:88271]"
"478","SGK1","ENSG00000118515","478.1.1","Sgk1","ENSMUSG00000019970","serum/glucocorticoid regulated kinase 1 [Source:MGI Symbol;Acc:MGI:1340062]"
"479","MYO9A","ENSG00000066933","479.1.1","Myo9a","ENSMUSG00000039585","myosin IXa [Source:MGI Symbol;Acc:MGI:107735]"
"480","MSL2","ENSG00000174579","480.1.1","Msl2","ENSMUSG00000066415","MSL complex subunit 2 [Source:MGI Symbol;Acc:MGI:1925103]"
"481","NUP62","ENSG00000213024","481.1.1","Nup62","ENSMUSG00000109511","nucleoporin 62 [Source:MGI Symbol;Acc:MGI:1351500]"
"482","PSMB5","ENSG00000100804","482.1.1","Psmb5","ENSMUSG00000022193","proteasome (prosome, macropain) subunit, beta type 5 [Source:MGI Symbol;Acc:MGI:1194513]"
"483","DCAF12","ENSG00000198876","483.1.1","Dcaf12","ENSMUSG00000028436","DDB1 and CUL4 associated factor 12 [Source:MGI Symbol;Acc:MGI:1916220]"
"484","PRKCI","ENSG00000163558","484.1.1","Prkci","ENSMUSG00000037643","protein kinase C, iota [Source:MGI Symbol;Acc:MGI:99260]"
"485","CTSC","ENSG00000109861","485.1.1","Ctsc","ENSMUSG00000030560","cathepsin C [Source:MGI Symbol;Acc:MGI:109553]"
"486","RALY","ENSG00000125970","486.1.1","Raly","ENSMUSG00000027593","hnRNP-associated with lethal yellow [Source:MGI Symbol;Acc:MGI:97850]"
"487","DENND6A","ENSG00000174839","487.1.1","Dennd6a","ENSMUSG00000040818","DENN domain containing 6A [Source:MGI Symbol;Acc:MGI:2442980]"
"488","CCDC186","ENSG00000165813","488.1.1","Ccdc186","ENSMUSG00000035173","coiled-coil domain containing 186 [Source:MGI Symbol;Acc:MGI:2445022]"
"489","FNTB","ENSG00000257365","489.1.1","Fntb","ENSMUSG00000033373","farnesyltransferase, CAAX box, beta [Source:MGI Symbol;Acc:MGI:1861305]"
"490","MS4A4E","ENSG00000214787","490.1.1","Ms4a4c","ENSMUSG00000024675","membrane-spanning 4-domains, subfamily A, member 4C [Source:MGI Symbol;Acc:MGI:1927656]"
"490","MS4A4E","ENSG00000214787","490.1.2","Ms4a4d","ENSMUSG00000024678","membrane-spanning 4-domains, subfamily A, member 4D [Source:MGI Symbol;Acc:MGI:1913857]"
"490","MS4A4E","ENSG00000214787","490.1.3","Ms4a4b","ENSMUSG00000056290","membrane-spanning 4-domains, subfamily A, member 4B [Source:MGI Symbol;Acc:MGI:1913083]"
"490","MS4A4E","ENSG00000214787","490.1.4","Ms4a4a","ENSMUSG00000101389","membrane-spanning 4-domains, subfamily A, member 4A [Source:MGI Symbol;Acc:MGI:3643932]"
"491","TXNRD1","ENSG00000198431","491.1.1","Txnrd1","ENSMUSG00000020250","thioredoxin reductase 1 [Source:MGI Symbol;Acc:MGI:1354175]"
