"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"487","DENND6A","ENSG00000174839","487.1.1","dennd6aa","ENSDARG00000030239","DENN/MADD domain containing 6Aa [Source:ZFIN;Acc:ZDB-GENE-041010-63]"
"488","CCDC186","ENSG00000165813","488.1.1","ccdc186","ENSDARG00000061020","si:ch211-225b10.4 [Source:ZFIN;Acc:ZDB-GENE-100318-3]"
"489","FNTB","ENSG00000257365","489.1.1","fntb","ENSDARG00000027916","farnesyltransferase, CAAX box, subunit beta [Source:ZFIN;Acc:ZDB-GENE-030131-2220]"
"490","MS4A4E","ENSG00000214787","490.1.1","N/A","N/A","N/A"
"491","TXNRD1","ENSG00000198431","491.1.1","N/A","N/A","N/A"
"492","P2RY13","ENSG00000181631","492.1.1","p2ry13","ENSDARG00000069944","purinergic receptor P2Y13 [Source:ZFIN;Acc:ZDB-GENE-110208-5]"
"493","TET2","ENSG00000168769","493.1.1","tet2","ENSDARG00000076928","tet methylcytosine dioxygenase 2 [Source:ZFIN;Acc:ZDB-GENE-090312-98]"
"494","OTULINL","ENSG00000145569","494.1.1","N/A","N/A","N/A"
"495","RFX1","ENSG00000132005","495.1.1","rfx1a","ENSDARG00000005883","regulatory factor X, 1a (influences HLA class II expression) [Source:ZFIN;Acc:ZDB-GENE-070424-94]"
"495","RFX1","ENSG00000132005","495.1.2","RFX1","ENSDARG00000075904","regulatory factor X1 [Source:HGNC Symbol;Acc:HGNC:9982]"
"496","BCLAF1","ENSG00000029363","496.1.1","N/A","N/A","N/A"
"497","DDX3X","ENSG00000215301","497.1.1","ddx3xb","ENSDARG00000005774","DEAD-box helicase 3 X-linked b [Source:ZFIN;Acc:ZDB-GENE-980526-150]"
"497","DDX3X","ENSG00000215301","497.1.2","ddx3xa","ENSDARG00000020573","DEAD-box helicase 3 X-linked a [Source:ZFIN;Acc:ZDB-GENE-030131-1565]"
"498","PHRF1","ENSG00000070047","498.1.1","PHRF1","ENSDARG00000075252","PHD and ring finger domains 1 [Source:HGNC Symbol;Acc:HGNC:24351]"
"499","TMEM165","ENSG00000134851","499.1.1","tmem165","ENSDARG00000034600","transmembrane protein 165 [Source:ZFIN;Acc:ZDB-GENE-030131-3222]"
"500","ETS2","ENSG00000157557","500.1.1","N/A","N/A","N/A"
"501","FEM1B","ENSG00000169018","501.1.1","N/A","N/A","N/A"
"502","HMGB2","ENSG00000164104","502.1.1","hmgb2a","ENSDARG00000029722","high mobility group box 2a [Source:ZFIN;Acc:ZDB-GENE-051120-126]"
"503","CEP63","ENSG00000182923","503.1.1","cep63","ENSDARG00000056862","centrosomal protein 63 [Source:ZFIN;Acc:ZDB-GENE-040426-1154]"
"504","G3BP1","ENSG00000145907","504.1.1","g3bp1","ENSDARG00000017741","GTPase activating protein (SH3 domain) binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-7452]"
"505","PTPA","ENSG00000119383","505.1.1","ptpa","ENSDARG00000031985","protein phosphatase 2 phosphatase activator [Source:ZFIN;Acc:ZDB-GENE-040801-11]"
"506","MAN2A1","ENSG00000112893","506.1.1","man2a1","ENSDARG00000102200","mannosidase, alpha, class 2A, member 1 [Source:ZFIN;Acc:ZDB-GENE-060526-31]"
"507","H4C4","ENSG00000277157","507.1.1","N/A","N/A","N/A"
"508","RGS10","ENSG00000148908","508.1.1","N/A","N/A","N/A"
"509","FOXP1","ENSG00000114861","509.1.1","N/A","N/A","N/A"
"509","FOXP1","ENSG00000285708","509.2.1","N/A","N/A","N/A"
"510","CEP55","ENSG00000138180","510.1.1","cep55l","ENSDARG00000102349","centrosomal protein 55 like [Source:ZFIN;Acc:ZDB-GENE-050522-222]"
"511","ZNF438","ENSG00000183621","511.1.1","znf438","ENSDARG00000061311","zinc finger protein 438 [Source:ZFIN;Acc:ZDB-GENE-060929-868]"
"512","AKIRIN2","ENSG00000135334","512.1.1","N/A","N/A","N/A"
"513","IFNAR1","ENSG00000142166","513.1.1","il10rb","ENSDARG00000078042","interleukin 10 receptor, beta [Source:ZFIN;Acc:ZDB-GENE-050909-1]"
"514","CCDC28A","ENSG00000024862","514.1.1","ccdc28a","ENSDARG00000022983","coiled-coil domain containing 28A [Source:ZFIN;Acc:ZDB-GENE-030131-5007]"
"515","GGA2","ENSG00000103365","515.1.1","N/A","N/A","N/A"
"516","SLC39A13","ENSG00000165915","516.1.1","slc39a13","ENSDARG00000000442","solute carrier family 39 member 13 [Source:ZFIN;Acc:ZDB-GENE-030616-17]"
"517","ZCCHC2","ENSG00000141664","517.1.1","ENSDARG00000067950","ENSDARG00000067950",""
"518","KLF13","ENSG00000169926","518.1.1","N/A","N/A","N/A"
"519","LONRF1","ENSG00000154359","519.1.1","lonrf1","ENSDARG00000078567","LON peptidase N-terminal domain and ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-081104-397]"
"520","C2CD2L","ENSG00000172375","520.1.1","c2cd2l","ENSDARG00000061066","c2cd2 like [Source:ZFIN;Acc:ZDB-GENE-041019-1]"
"521","PLXND1","ENSG00000004399","521.1.1","N/A","N/A","N/A"
"522","ARAP1","ENSG00000186635","522.1.1","N/A","N/A","N/A"
"523","C1ORF162","ENSG00000143110","523.1.1","N/A","N/A","N/A"
"524","ADGRE1","ENSG00000174837","524.1.1","N/A","N/A","N/A"
"525","LIPA","ENSG00000107798","525.1.1","lipf","ENSDARG00000018529","lipase, gastric [Source:ZFIN;Acc:ZDB-GENE-040426-2737]"
"526","CTNS","ENSG00000040531","526.1.1","ctns","ENSDARG00000008890","cystinosin, lysosomal cystine transporter [Source:ZFIN;Acc:ZDB-GENE-050522-352]"
"527","PSMB3","ENSG00000277791","527.1.1","psmb3","ENSDARG00000013938","proteasome 20S subunit beta 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2682]"
"528","MFSD11","ENSG00000092931","528.1.1","mfsd11","ENSDARG00000102828","major facilitator superfamily domain containing 11 [Source:ZFIN;Acc:ZDB-GENE-050913-140]"
"529","MED25","ENSG00000104973","529.1.1","med25","ENSDARG00000038005","mediator complex subunit 25 [Source:ZFIN;Acc:ZDB-GENE-040426-2850]"
"530","SLC25A51","ENSG00000122696","530.1.1","N/A","N/A","N/A"
"531","NUB1","ENSG00000013374","531.1.1","ENSDARG00000061417","ENSDARG00000061417",""
"532","TANK","ENSG00000136560","532.1.1","tank","ENSDARG00000067723","TRAF family member-associated NFKB activator [Source:ZFIN;Acc:ZDB-GENE-060929-308]"
"533","RUNX1","ENSG00000159216","533.1.1","runx1","ENSDARG00000087646","RUNX family transcription factor 1 [Source:ZFIN;Acc:ZDB-GENE-000605-1]"
"534","RB1","ENSG00000139687","534.1.1","rb1","ENSDARG00000006782","retinoblastoma 1 [Source:ZFIN;Acc:ZDB-GENE-040428-1]"
"535","LUC7L2","ENSG00000146963","535.1.1","zgc:158803","ENSDARG00000019765","zgc:158803 [Source:ZFIN;Acc:ZDB-GENE-070424-15]"
"535","LUC7L2","ENSG00000269955","535.2.1","N/A","N/A","N/A"
"536","SLX4IP","ENSG00000149346","536.1.1","slx4ip","ENSDARG00000039069","SLX4 interacting protein [Source:ZFIN;Acc:ZDB-GENE-040426-1365]"
"537","CARD16","ENSG00000204397","537.1.1","casp8","ENSDARG00000058325","caspase 8, apoptosis-related cysteine peptidase [Source:ZFIN;Acc:ZDB-GENE-000713-1]"
"537","CARD16","ENSG00000204397","537.1.2","ENSDARG00000086266","ENSDARG00000086266",""
"537","CARD16","ENSG00000204397","537.1.3","casp20","ENSDARG00000104367","caspase 20, apoptosis-related cysteine peptidase [Source:ZFIN;Acc:ZDB-GENE-081022-114]"
"537","CARD16","ENSG00000204397","537.1.4","casp17","ENSDARG00000112575","caspase 17, apoptosis-related cysteine peptidase [Source:ZFIN;Acc:ZDB-GENE-190425-2]"
"538","XXYLT1","ENSG00000173950","538.1.1","xxylt1","ENSDARG00000088799","xyloside xylosyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-120521-2]"
"539","ITPR2","ENSG00000123104","539.1.1","ITPR2","ENSDARG00000011909","inositol 1,4,5-trisphosphate receptor type 2 [Source:HGNC Symbol;Acc:HGNC:6181]"
"540","CORO1A","ENSG00000102879","540.1.1","coro1a","ENSDARG00000054610","coronin, actin binding protein, 1A [Source:ZFIN;Acc:ZDB-GENE-030131-9512]"
"541","NAP1L4","ENSG00000205531","541.1.1","nap1l4b","ENSDARG00000068868","nucleosome assembly protein 1-like 4b [Source:ZFIN;Acc:ZDB-GENE-041114-168]"
"542","EIF4E","ENSG00000151247","542.1.1","eif4eb","ENSDARG00000013274","eukaryotic translation initiation factor 4eb [Source:ZFIN;Acc:ZDB-GENE-041121-14]"
"542","EIF4E","ENSG00000151247","542.1.2","eif4ea","ENSDARG00000077012","eukaryotic translation initiation factor 4ea [Source:ZFIN;Acc:ZDB-GENE-040413-1]"
"543","IRF5","ENSG00000128604","543.1.1","irf5","ENSDARG00000045681","interferon regulatory factor 5 [Source:ZFIN;Acc:ZDB-GENE-040426-2587]"
"544","DOCK8","ENSG00000107099","544.1.1","dock8","ENSDARG00000055225","dedicator of cytokinesis 8 [Source:ZFIN;Acc:ZDB-GENE-060503-743]"
"545","PLCL2","ENSG00000154822","545.1.1","PLCL2","ENSDARG00000098826","phospholipase C like 2 [Source:HGNC Symbol;Acc:HGNC:9064]"
"546","CNNM2","ENSG00000148842","546.1.1","cnnm2a","ENSDARG00000061195","cyclin and CBS domain divalent metal cation transport mediator 2a [Source:ZFIN;Acc:ZDB-GENE-050208-36]"
"546","CNNM2","ENSG00000148842","546.1.2","cnnm2b","ENSDARG00000078733","cyclin and CBS domain divalent metal cation transport mediator 2b [Source:ZFIN;Acc:ZDB-GENE-090311-26]"
"547","IVNS1ABP","ENSG00000116679","547.1.1","ivns1abpb","ENSDARG00000013946","influenza virus NS1A binding protein b [Source:ZFIN;Acc:ZDB-GENE-030131-6266]"
"547","IVNS1ABP","ENSG00000116679","547.1.2","ivns1abpa","ENSDARG00000031100","influenza virus NS1A binding protein a [Source:ZFIN;Acc:ZDB-GENE-031222-2]"
"548","CELF2","ENSG00000048740","548.1.1","celf2","ENSDARG00000002131","cugbp, Elav-like family member 2 [Source:ZFIN;Acc:ZDB-GENE-030826-35]"
"548","CELF2","ENSG00000048740","548.1.2","ENSDARG00000114049","ENSDARG00000114049",""
"549","MRTFA","ENSG00000196588","549.1.1","N/A","N/A","N/A"
"550","BPHL","ENSG00000137274","550.1.1","bphl","ENSDARG00000102877","biphenyl hydrolase like [Source:ZFIN;Acc:ZDB-GENE-170623-2]"
"551","CLN8","ENSG00000182372","551.1.1","cln8","ENSDARG00000075525","CLN8 transmembrane ER and ERGIC protein [Source:ZFIN;Acc:ZDB-GENE-060906-3]"
"552","PAPOLA","ENSG00000090060","552.1.1","papola","ENSDARG00000009585","poly(A) polymerase alpha [Source:ZFIN;Acc:ZDB-GENE-030131-3507]"
"553","PDCL","ENSG00000136940","553.1.1","pdcl","ENSDARG00000009480","phosducin-like [Source:ZFIN;Acc:ZDB-GENE-030131-2365]"
"554","ZC3H4","ENSG00000130749","554.1.1","zc3h4","ENSDARG00000078355","zinc finger CCCH-type containing 4 [Source:ZFIN;Acc:ZDB-GENE-100330-1]"
"555","HTT","ENSG00000197386","555.1.1","htt","ENSDARG00000052866","huntingtin [Source:ZFIN;Acc:ZDB-GENE-990415-131]"
"556","FAM53B","ENSG00000189319","556.1.1","fam53b","ENSDARG00000016156","family with sequence similarity 53 member B [Source:ZFIN;Acc:ZDB-GENE-040426-2495]"
"557","TMEM150B","ENSG00000180061","557.1.1","tmem150b","ENSDARG00000056144","transmembrane protein 150B [Source:ZFIN;Acc:ZDB-GENE-051113-144]"
"558","TIAL1","ENSG00000151923","558.1.1","N/A","N/A","N/A"
"559","AZI2","ENSG00000163512","559.1.1","azi2","ENSDARG00000102419","5-azacytidine induced 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2097]"
"560","AIP","ENSG00000110711","560.1.1","aip","ENSDARG00000104437","aryl hydrocarbon receptor interacting protein [Source:ZFIN;Acc:ZDB-GENE-030131-6735]"
"561","RABL3","ENSG00000144840","561.1.1","rabl3","ENSDARG00000040959","RAB, member of RAS oncogene family-like 3 [Source:ZFIN;Acc:ZDB-GENE-040808-11]"
"562","INCENP","ENSG00000149503","562.1.1","ENSDARG00000099194","ENSDARG00000099194",""
"563","OCEL1","ENSG00000099330","563.1.1","ENSDARG00000038121","ENSDARG00000038121",""
"563","OCEL1","ENSG00000099330","563.1.2","zgc:154006","ENSDARG00000061797","zgc:154006 [Source:ZFIN;Acc:ZDB-GENE-061013-134]"
"563","OCEL1","ENSG00000099330","563.1.3","marveld2l","ENSDARG00000061800","MARVEL domain containing 2-like [Source:ZFIN;Acc:ZDB-GENE-070912-433]"
"564","TM9SF4","ENSG00000101337","564.1.1","tm9sf4","ENSDARG00000002536","transmembrane 9 superfamily protein member 4 [Source:ZFIN;Acc:ZDB-GENE-040426-1575]"
"565","USP49","ENSG00000164663","565.1.1","usp49","ENSDARG00000000229","ubiquitin specific peptidase 49 [Source:ZFIN;Acc:ZDB-GENE-050208-484]"
"566","SLC39A8","ENSG00000138821","566.1.1","SLC39A8","ENSDARG00000056757","solute carrier family 39 member 8 [Source:HGNC Symbol;Acc:HGNC:20862]"
"566","SLC39A8","ENSG00000138821","566.1.2","ENSDARG00000113547","ENSDARG00000113547",""
"567","IRF2BP1","ENSG00000170604","567.1.1","irf2bp1","ENSDARG00000005468","interferon regulatory factor 2 binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-050420-389]"
"568","CASS4","ENSG00000087589","568.1.1","cass4","ENSDARG00000006775","Cas scaffold protein family member 4 [Source:ZFIN;Acc:ZDB-GENE-110131-9]"
"569","ITGB1","ENSG00000150093","569.1.1","itgb1b.2","ENSDARG00000022689","integrin, beta 1b.2 [Source:ZFIN;Acc:ZDB-GENE-040426-2598]"
"569","ITGB1","ENSG00000150093","569.1.2","itgb1b.1","ENSDARG00000053232","integrin, beta 1b.1 [Source:ZFIN;Acc:ZDB-GENE-060803-3]"
"569","ITGB1","ENSG00000150093","569.1.3","itgb1a","ENSDARG00000071863","integrin, beta 1a [Source:ZFIN;Acc:ZDB-GENE-060803-2]"
"569","ITGB1","ENSG00000150093","569.1.4","itgb1b","ENSDARG00000104484","integrin, beta 1b [Source:ZFIN;Acc:ZDB-GENE-030909-10]"
"569","ITGB1","ENSG00000150093","569.1.5","ITGB1","ENSDARG00000109929","integrin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6153]"
"570","RBBP6","ENSG00000122257","570.1.1","N/A","N/A","N/A"
"571","STAM2","ENSG00000115145","571.1.1","stam2","ENSDARG00000005318","signal transducing adaptor molecule (SH3 domain and ITAM motif) 2 [Source:ZFIN;Acc:ZDB-GENE-041114-64]"
"572","DAPK1","ENSG00000196730","572.1.1","dapk1","ENSDARG00000060093","death-associated protein kinase 1 [Source:ZFIN;Acc:ZDB-GENE-060526-177]"
"573","TRMT1L","ENSG00000121486","573.1.1","TRMT1L","ENSDARG00000042057","tRNA methyltransferase 1 like [Source:HGNC Symbol;Acc:HGNC:16782]"
"574","BAIAP2","ENSG00000175866","574.1.1","baiap2a","ENSDARG00000062799","BAR/IMD domain containing adaptor protein 2a [Source:ZFIN;Acc:ZDB-GENE-060421-2756]"
"574","BAIAP2","ENSG00000175866","574.1.2","BAIAP2","ENSDARG00000103333","BAR/IMD domain containing adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:947]"
"575","FCER1G","ENSG00000158869","575.1.1","cd247l","ENSDARG00000077240","CD247 antigen like [Source:ZFIN;Acc:ZDB-GENE-070508-2]"
"576","TDRD3","ENSG00000083544","576.1.1","tdrd3","ENSDARG00000025421","tudor domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-040426-19]"
"577","TOM1","ENSG00000100284","577.1.1","tom1","ENSDARG00000104581","target of myb1 membrane trafficking protein [Source:ZFIN;Acc:ZDB-GENE-060721-1]"
"578","RTN4","ENSG00000115310","578.1.1","rtn4a","ENSDARG00000044601","reticulon 4a [Source:ZFIN;Acc:ZDB-GENE-030710-1]"
"579","MS4A6E","ENSG00000166926","579.1.1","ms4a17a.6","ENSDARG00000007018","membrane-spanning 4-domains, subfamily A, member 17A.6 [Source:ZFIN;Acc:ZDB-GENE-070209-265]"
"579","MS4A6E","ENSG00000166926","579.1.2","ms4a17a.4","ENSDARG00000014024","membrane-spanning 4-domains, subfamily A, member 17A.4 [Source:ZFIN;Acc:ZDB-GENE-070822-16]"
"579","MS4A6E","ENSG00000166926","579.1.3","si:dkey-77f5.10","ENSDARG00000020548","si:dkey-77f5.10 [Source:ZFIN;Acc:ZDB-GENE-131121-133]"
"579","MS4A6E","ENSG00000166926","579.1.4","zgc:113425","ENSDARG00000026616","zgc:113425 [Source:ZFIN;Acc:ZDB-GENE-050320-128]"
"579","MS4A6E","ENSG00000166926","579.1.5","ENSDARG00000028659","ENSDARG00000028659",""
"579","MS4A6E","ENSG00000166926","579.1.6","ms4a17a.7","ENSDARG00000043796","membrane-spanning 4-domains, subfamily A, member 17A.7 [Source:ZFIN;Acc:ZDB-GENE-080829-2]"
"579","MS4A6E","ENSG00000166926","579.1.7","ms4a17a.1","ENSDARG00000043798","membrane-spanning 4-domains, subfamily A, member 17A.1 [Source:ZFIN;Acc:ZDB-GENE-050417-307]"
"579","MS4A6E","ENSG00000166926","579.1.8","ms4a17a.8","ENSDARG00000043802","membrane-spanning 4-domains, subfamily A, member 17A.8 [Source:ZFIN;Acc:ZDB-GENE-070705-365]"
"579","MS4A6E","ENSG00000166926","579.1.9","ms4a17a.12","ENSDARG00000053563","membrane-spanning 4-domains, subfamily A, member 17A.12 [Source:ZFIN;Acc:ZDB-GENE-080829-4]"
"579","MS4A6E","ENSG00000166926","579.1.10","ms4a17a.16","ENSDARG00000054898","membrane-spanning 4-domains, subfamily A, member 17A.16 [Source:ZFIN;Acc:ZDB-GENE-060825-240]"
"579","MS4A6E","ENSG00000166926","579.1.11","si:dkey-7j14.6","ENSDARG00000090552","si:dkey-7j14.6 [Source:ZFIN;Acc:ZDB-GENE-030131-8466]"
"579","MS4A6E","ENSG00000166926","579.1.12","ms4a17a.3","ENSDARG00000091970","membrane-spanning 4-domains, subfamily A, member 17A.3 [Source:ZFIN;Acc:ZDB-GENE-080829-1]"
"579","MS4A6E","ENSG00000166926","579.1.13","ms4a17a.5","ENSDARG00000092204","membrane-spanning 4-domains, subfamily A, member 17A.5 [Source:ZFIN;Acc:ZDB-GENE-040912-55]"
"579","MS4A6E","ENSG00000166926","579.1.14","ENSDARG00000092593","ENSDARG00000092593",""
"579","MS4A6E","ENSG00000166926","579.1.15","ENSDARG00000093512","ENSDARG00000093512",""
"579","MS4A6E","ENSG00000166926","579.1.16","si:ch73-56d11.5","ENSDARG00000093546","si:ch73-56d11.5 [Source:ZFIN;Acc:ZDB-GENE-161017-12]"
"579","MS4A6E","ENSG00000166926","579.1.17","ms4a17c.1","ENSDARG00000094643","membrane-spanning 4-domains, subfamily A, member 17C.1 [Source:ZFIN;Acc:ZDB-GENE-080829-9]"
"579","MS4A6E","ENSG00000166926","579.1.18","ms4a17a.11","ENSDARG00000094809","membrane-spanning 4-domains, subfamily A, member 17A.11 [Source:ZFIN;Acc:ZDB-GENE-050417-157]"
"579","MS4A6E","ENSG00000166926","579.1.19","ms4a17a.9","ENSDARG00000094854","membrane-spanning 4-domains, subfamily A, member 17A.9 [Source:ZFIN;Acc:ZDB-GENE-050320-79]"
"579","MS4A6E","ENSG00000166926","579.1.20","ms4a17a.10","ENSDARG00000095695","membrane-spanning 4-domains, subfamily A, member 17A.10 [Source:ZFIN;Acc:ZDB-GENE-080829-3]"
"579","MS4A6E","ENSG00000166926","579.1.21","si:ch73-56d11.3","ENSDARG00000097527","si:ch73-56d11.3 [Source:ZFIN;Acc:ZDB-GENE-131126-22]"
"579","MS4A6E","ENSG00000166926","579.1.22","tmem176l.3a","ENSDARG00000098387","transmembrane protein 176l.3a [Source:ZFIN;Acc:ZDB-GENE-080829-13]"
"579","MS4A6E","ENSG00000166926","579.1.23","ms4a17a.2","ENSDARG00000105674","membrane-spanning 4-domains, subfamily A, member 17a.2 [Source:ZFIN;Acc:ZDB-GENE-070705-367]"
"579","MS4A6E","ENSG00000166926","579.1.24","ms4a17a.17","ENSDARG00000116378","membrane-spanning 4-domains, subfamily A, member 17A.17 [Source:ZFIN;Acc:ZDB-GENE-070424-27]"
"580","ZNF705A","ENSG00000196946","580.1.1","N/A","N/A","N/A"
"581","CTSH","ENSG00000103811","581.1.1","ctsh","ENSDARG00000041108","cathepsin H [Source:ZFIN;Acc:ZDB-GENE-030131-3539]"
"582","CERS6","ENSG00000172292","582.1.1","cers6","ENSDARG00000053583","ceramide synthase 6 [Source:ZFIN;Acc:ZDB-GENE-070522-1]"
"583","TNFAIP3","ENSG00000118503","583.1.1","TNFAIP3","ENSDARG00000027777","TNF alpha induced protein 3 [Source:HGNC Symbol;Acc:HGNC:11896]"
"584","GSTO1","ENSG00000148834","584.1.1","gsto1","ENSDARG00000022183","glutathione S-transferase omega 1 [Source:ZFIN;Acc:ZDB-GENE-040718-365]"
"584","GSTO1","ENSG00000148834","584.1.2","gsto2","ENSDARG00000033285","glutathione S-transferase omega 2 [Source:ZFIN;Acc:ZDB-GENE-041114-67]"
"585","TPRA1","ENSG00000163870","585.1.1","tpra1","ENSDARG00000054930","transmembrane protein, adipocyte asscociated 1 [Source:ZFIN;Acc:ZDB-GENE-030131-4146]"
"586","MYL6","ENSG00000092841","586.1.1","myl6","ENSDARG00000008494","myosin, light chain 6, alkali, smooth muscle and non-muscle [Source:ZFIN;Acc:ZDB-GENE-041010-28]"
"586","MYL6","ENSG00000092841","586.1.2","zgc:153867","ENSDARG00000033738","zgc:153867 [Source:ZFIN;Acc:ZDB-GENE-030131-9170]"
"587","CEP120","ENSG00000168944","587.1.1","CEP120","ENSDARG00000091326","centrosomal protein 120 [Source:HGNC Symbol;Acc:HGNC:26690]"
"588","CCNG2","ENSG00000138764","588.1.1","ccng2","ENSDARG00000017602","cyclin G2 [Source:ZFIN;Acc:ZDB-GENE-021016-1]"
"589","CETN3","ENSG00000153140","589.1.1","cetn3","ENSDARG00000011825","centrin 3 [Source:ZFIN;Acc:ZDB-GENE-050522-152]"
"590","ICAM1","ENSG00000090339","590.1.1","N/A","N/A","N/A"
"591","RPS13","ENSG00000110700","591.1.1","rps13","ENSDARG00000036298","ribosomal protein S13 [Source:ZFIN;Acc:ZDB-GENE-040625-52]"
"592","COX14","ENSG00000178449","592.1.1","N/A","N/A","N/A"
"593","PPOX","ENSG00000143224","593.1.1","ppox","ENSDARG00000102167","protoporphyrinogen oxidase [Source:ZFIN;Acc:ZDB-GENE-051120-90]"
"594","PTGER4","ENSG00000171522","594.1.1","ptger4b","ENSDARG00000035415","prostaglandin E receptor 4 (subtype EP4) b [Source:ZFIN;Acc:ZDB-GENE-060531-102]"
"594","PTGER4","ENSG00000171522","594.1.2","ptger4a","ENSDARG00000059236","prostaglandin E receptor 4 (subtype EP4) a [Source:ZFIN;Acc:ZDB-GENE-060222-1]"
"595","CSK","ENSG00000103653","595.1.1","csk","ENSDARG00000067996","C-terminal Src kinase [Source:ZFIN;Acc:ZDB-GENE-061103-493]"
"596","TGIF1","ENSG00000177426","596.1.1","tgif1","ENSDARG00000059337","TGFB-induced factor homeobox 1 [Source:ZFIN;Acc:ZDB-GENE-030131-475]"
"597","TAF6L","ENSG00000162227","597.1.1","taf6l","ENSDARG00000079684","TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor [Source:ZFIN;Acc:ZDB-GENE-030131-6789]"
"598","HNRNPUL1","ENSG00000105323","598.1.1","N/A","N/A","N/A"
"599","ATF6","ENSG00000118217","599.1.1","atf6","ENSDARG00000012656","activating transcription factor 6 [Source:ZFIN;Acc:ZDB-GENE-041014-328]"
"600","STIM2","ENSG00000109689","600.1.1","stim2b","ENSDARG00000001776","stromal interaction molecule 2b [Source:ZFIN;Acc:ZDB-GENE-120404-3]"
"600","STIM2","ENSG00000109689","600.1.2","stim2a","ENSDARG00000074867","tromal interaction molecule 2a [Source:ZFIN;Acc:ZDB-GENE-130530-765]"
"601","FCGR2A","ENSG00000143226","601.1.1","N/A","N/A","N/A"
"602","SERPINB6","ENSG00000124570","602.1.1","N/A","N/A","N/A"
"603","COQ7","ENSG00000167186","603.1.1","coq7","ENSDARG00000062594","coenzyme Q7 homolog, ubiquinone (yeast) [Source:ZFIN;Acc:ZDB-GENE-070209-262]"
"604","PNPLA8","ENSG00000135241","604.1.1","PNPLA8","ENSDARG00000078745","patatin like phospholipase domain containing 8 [Source:HGNC Symbol;Acc:HGNC:28900]"
"605","KLF11","ENSG00000172059","605.1.1","klf11b","ENSDARG00000013794","Kruppel like factor 11b [Source:ZFIN;Acc:ZDB-GENE-061103-82]"
"605","KLF11","ENSG00000172059","605.1.2","klf11a","ENSDARG00000030844","Kruppel like factor 11a [Source:ZFIN;Acc:ZDB-GENE-030131-3568]"
"606","SCARB2","ENSG00000138760","606.1.1","ENSDARG00000089844","ENSDARG00000089844",""
"607","CLEC4A","ENSG00000111729","607.1.1","ENSDARG00000046092","ENSDARG00000046092",""
"607","CLEC4A","ENSG00000111729","607.1.2","asgrl1","ENSDARG00000046142","asialoglycoprotein receptor-like 1 [Source:ZFIN;Acc:ZDB-GENE-081105-120]"
"607","CLEC4A","ENSG00000111729","607.1.3","si:dkey-61f9.1","ENSDARG00000070414","si:dkey-61f9.1 [Source:ZFIN;Acc:ZDB-GENE-041210-13]"
"607","CLEC4A","ENSG00000111729","607.1.4","asgr1a","ENSDARG00000095963","asialoglycoprotein receptor 1a [Source:ZFIN;Acc:ZDB-GENE-080917-52]"
"607","CLEC4A","ENSG00000111729","607.1.5","ENSDARG00000102537","ENSDARG00000102537",""
"607","CLEC4A","ENSG00000111729","607.1.6","asgr1b","ENSDARG00000103480","asialoglycoprotein receptor 1b [Source:ZFIN;Acc:ZDB-GENE-220726-1]"
"607","CLEC4A","ENSG00000111729","607.1.7","ENSDARG00000108953","ENSDARG00000108953",""
"607","CLEC4A","ENSG00000111729","607.1.8","ENSDARG00000111755","ENSDARG00000111755",""
"607","CLEC4A","ENSG00000111729","607.1.9","ENSDARG00000112842","ENSDARG00000112842",""
"608","MRPS33","ENSG00000090263","608.1.1","mrps33","ENSDARG00000020015","mitochondrial ribosomal protein S33 [Source:ZFIN;Acc:ZDB-GENE-040715-6]"
"609","MTMR10","ENSG00000166912","609.1.1","mtmr10","ENSDARG00000010601","myotubularin related protein 10 [Source:ZFIN;Acc:ZDB-GENE-061103-52]"
"610","TMEM87B","ENSG00000153214","610.1.1","TMEM87B","ENSDARG00000112581","transmembrane protein 87B [Source:HGNC Symbol;Acc:HGNC:25913]"
"611","DTWD2","ENSG00000169570","611.1.1","dtwd2","ENSDARG00000101873","DTW domain containing 2 [Source:ZFIN;Acc:ZDB-GENE-120215-183]"
"612","SLC6A6","ENSG00000131389","612.1.1","slc6a6a","ENSDARG00000012534","solute carrier family 6 member 6a [Source:ZFIN;Acc:ZDB-GENE-081104-1]"
"612","SLC6A6","ENSG00000131389","612.1.2","slc6a6b","ENSDARG00000098438","solute carrier family 6 member 6b [Source:ZFIN;Acc:ZDB-GENE-030131-3077]"
"613","LGMN","ENSG00000100600","613.1.1","lgmn","ENSDARG00000039150","legumain [Source:ZFIN;Acc:ZDB-GENE-021030-1]"
"614","RASGRP3","ENSG00000152689","614.1.1","rasgrp3","ENSDARG00000077864","RAS guanyl releasing protein 3 (calcium and DAG-regulated) [Source:ZFIN;Acc:ZDB-GENE-070424-82]"
